Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
24-12,21:00,Africa Cup of Nations,Cameroon,Gabon,-0.5,-0.5,0.5,0.5,2.00,2.00,1.88,1.81,2,2.25,1.89,2.01,1.98,1.79,1-0,1-0
24-12,20:00,Honduras Reserve League,CD Platense Reserves,CD Olimpia Reservas,1,0.25,-1,-0.25,1.78,1.85,1.97,1.86,3,2.5,1.85,1.79,1.88,1.92,0-1,0-3
24-12,19:00,Egypt League Cup,El Mokawloon El Arab,Talaea EI-Gaish,0,0,0,0,1.95,1.84,1.90,1.93,1.75,1.75,1.88,1.93,1.96,1.82,0-0,0-0
24-12,18:30,Africa Cup of Nations,Ivory Coast,Mozambique,-1.5,-1,1.5,1,1.96,1.95,1.93,1.85,2.5,2.25,2.04,1.85,1.84,1.93,0-0,1-0
24-12,18:30,Turkey Cup,Samsunspor,Eyupspor,-2,-0.75,2,0.75,1.93,1.84,1.80,1.93,3.25,2.5,1.87,1.88,1.84,1.87,2-0,2-1
24-12,18:00,GCC Champions League,Al-Qadsia SC,Sitra,-0.75,-0.5,0.75,0.5,1.93,1.77,1.81,1.95,2.25,2.25,1.82,1.97,1.93,1.75,1-0,2-1
24-12,17:30,Rwanda National League,Gorilla FC,Al Hilal Omdurman,0.5,0.5,-0.5,-0.5,1.98,1.88,1.78,1.83,1.75,2,1.77,1.96,1.98,1.76,0-2,0-3
24-12,17:00,AFC Champions League 2,Al-Ahli Doha,FK Andijon,-1,-0.5,1,0.5,1.93,1.89,1.88,1.78,2.25,2,1.94,1.94,1.88,1.74,1-0,2-0
24-12,17:00,AFC Champions League 2,Al-Muharraq,Esteghlal Tehran,0,-0.25,0,0.25,1.90,1.97,1.84,1.71,2,2,1.88,1.88,1.86,1.79,0-1,0-3
24-12,17:00,AFC Champions League 2,Al-Nassr,Al Zawraa,-2.5,-2.25,2.5,2.25,1.81,1.90,1.92,1.76,4,3,1.94,1.88,1.79,1.78,4-0,5-1
24-12,17:00,AFC Champions League 2,Al-Wasl,Al Wehdat SC,-1.5,-1.5,1.5,1.5,1.78,1.80,1.96,1.87,3,3.25,1.79,1.88,1.95,1.78,1-0,2-1
24-12,17:00,AFC Champions League 2,Arkadag FK,Al Khaldiya,0.25,0,-0.25,0,1.84,1.72,1.90,1.96,2.25,2,1.84,1.88,1.90,1.79,1-0,1-0
24-12,17:00,AFC Champions League 2,FC Goa,FC Istiklol Dushanbe,0.75,0.25,-0.75,-0.25,1.86,1.86,1.88,1.81,2.75,2.25,1.79,1.77,1.96,1.90,1-0,1-2
24-12,17:00,Ghana Premier League,Techiman Eleven Wonders,Asante Kotoko FC,0.75,0.5,-0.75,-0.5,1.93,1.72,1.81,2.01,2.25,1.75,1.95,1.79,1.80,1.93,0-1,0-2
24-12,16:30,Albania Super league,KS Elbasani,KF Tirana,-1,-1,1,1,1.72,1.94,2.05,1.78,2.5,2.25,1.99,1.93,1.76,1.79,0-0,1-1
24-12,16:30,Albania Super league,Vllaznia Shkoder,Flamurtari,-0.75,-0.5,0.75,0.5,1.85,1.82,1.88,1.88,2.25,2.25,1.90,1.88,1.84,1.83,2-1,3-2
24-12,16:00,Africa Cup of Nations,Algeria,Sudan,-1.5,-1.25,1.5,1.25,1.95,1.81,1.93,2.01,2.5,2.5,1.85,1.85,2.02,1.93,1-0,3-0
24-12,16:00,Egypt League Cup,Kahraba Ismailia,Al-Ittihad Alexandria,-0.25,-0.25,0.25,0.25,2.05,2.05,1.82,1.74,1.75,1.75,1.83,1.93,2.02,1.83,1-0,1-1
24-12,16:00,Egypt League Cup,Pharco,Enppi,0,0,0,0,1.85,2.04,2.01,1.75,1.25,1.75,1.78,2.03,2.08,1.75,0-0,2-1
24-12,16:00,Ethiopia Premier League,Hadiya Hossana,Wolaita Dicha,-0.25,0,0.25,0,1.88,2.03,1.90,1.75,1.75,1.75,1.78,1.87,2.03,1.88,2-0,2-1
24-12,16:00,Israel Youth League,Maccabi Haifa U,Hapoel Raanana Roei U,-1.75,-2.25,1.75,2.25,1.92,1.83,1.81,1.87,3,3.75,1.76,1.90,1.97,1.79,2-0,4-0
24-12,16:00,Turkey Cup,Keciorengucu,Halide Edip Adivarspor,-1.5,-1.25,1.5,1.25,1.96,1.79,1.83,1.93,2.75,2.5,1.78,1.78,2.01,1.93,2-0,3-1
24-12,14:15,Zanzibar Premier League,Kipanga FC,Mlandege FC,0.5,0,-0.5,0,1.75,2.05,2.02,1.69,1.75,1.75,1.81,1.88,1.93,1.83,1-1,3-1
24-12,14:00,Ethiopia Premier League,Bahir Dar Kenema FC,Fasil Kenema,-0.25,-0.25,0.25,0.25,1.93,1.87,1.85,1.88,1.75,1.75,1.85,1.88,1.93,1.87,0-0,0-0
24-12,14:00,Liga Super Malaysia,Kelantan United,Negeri Sembilan,0,0,0,0,2.00,1.96,1.83,1.83,3,3.25,1.80,2.00,2.03,1.77,0-1,0-2
24-12,14:00,Liga Super Malaysia,Melaka FC,Imigresen FC,0,0,0,0,1.91,1.91,1.91,1.88,3.25,3.25,1.94,2.00,1.88,1.79,0-2,0-2
24-12,14:00,Rwanda National League,Al Merreikh,Musanze FC,-0.25,-0.5,0.25,0.5,1.78,1.79,1.97,1.93,2,2,1.78,1.91,1.97,1.81,0-2,3-2
24-12,14:00,Zambia Super League,Prison Leopards FC,ZESCO United Ndola,0.25,0.5,-0.25,-0.5,1.75,1.76,2.01,1.96,1.75,2,1.81,2.01,1.93,1.72,0-0,0-0
24-12,13:50,United Arab Emirates U19,Al Ain SCC B U,Al Nasr SC U,-1.5,-1.5,1.5,1.5,1.97,1.79,1.78,1.93,3.5,3.75,1.79,1.88,1.95,1.83,2-0,3-0
24-12,13:50,United Arab Emirates U19,Al Ittihad Kalba U,Al Ain SCC U,2.75,3.5,-2.75,-3.5,1.79,1.81,1.92,1.87,4.25,4.5,1.76,1.88,1.95,1.79,0-1,0-4
24-12,13:50,United Arab Emirates U19,Al Jazira Club U,Al Wehda(UAE) U,-0.25,-0.25,0.25,0.25,2.03,1.92,1.74,1.79,3,3.25,1.99,1.88,1.76,1.83,0-0,0-1
24-12,13:50,United Arab Emirates U19,Al Rams U,Banni Yas U,-0.5,0.25,0.5,-0.25,1.95,1.79,1.79,1.93,3.25,3.5,1.83,1.93,1.91,1.78,2-1,3-4
24-12,13:50,United Arab Emirates U19,Gulf United FC U,Dabba Al-Fujairah U,1.25,1.25,-1.25,-1.25,1.96,1.88,1.79,1.83,3.75,3.5,1.83,1.79,1.91,1.93,0-2,1-2
24-12,13:50,United Arab Emirates U19,Shabab Al Ahli Dubai U,Al Dhaid U,-1,-1.25,1,1.25,1.85,1.86,1.88,1.85,3.75,3.75,1.87,1.80,1.87,1.91,1-0,2-1
24-12,13:50,United Arab Emirates U19,Sharjah SCC U,Al-Wasl U,2,1.75,-2,-1.75,1.79,1.90,1.94,1.80,3.5,3.75,1.76,1.89,1.94,1.81,1-1,1-1
24-12,13:30,Africa Cup of Nations,Burkina Faso,Equatorial Guinea,-0.5,-0.25,0.5,0.25,1.93,1.93,1.95,1.86,1.75,2.25,1.90,1.93,1.97,1.86,0-0,2-1
24-12,13:30,Albania Super league,FK Vora,KS Bylis,-1,-0.75,1,0.75,1.90,1.76,1.84,1.95,2.5,2.25,1.87,2.00,1.87,1.72,2-0,4-1
24-12,13:30,Egypt Division 2,Horse Owners Club,El Zohour Matrouh,-1.75,-3,1.75,3,1.83,1.79,1.83,1.89,3.25,4,1.83,1.82,1.83,1.86,1-0,4-1
24-12,13:30,Ethiopia Higher League,Nib FC,Yeka Sub City FC,-0.25,-0.25,0.25,0.25,2.01,1.82,1.72,1.89,2,2,1.89,1.81,1.82,1.91,1-1,1-3
24-12,13:30,Turkey Cup,Boluspor,Fethiyespor,0.5,-1.75,-0.5,1.75,1.87,1.95,1.87,1.74,3,2.75,1.83,1.83,1.90,1.86,0-0,0-0
24-12,13:20,Saudi Arabia Division 1,Al Bukayriyah,Al-Arabi(KSA),-0.75,-0.75,0.75,0.75,1.85,1.91,2.00,1.86,2.5,2.25,2.05,1.88,1.80,1.88,0-0,1-0
24-12,13:15,Liga Super Malaysia,Kuala Lumpur City F.C.,Kuching FA,0,-0.25,0,0.25,1.85,1.98,1.97,1.81,2.5,2.75,1.83,1.99,2.00,1.81,1-1,1-1
24-12,13:10,Saudi Arabia Division 1,Al Anwar SA,Al-Baten,-0.25,0,0.25,0,1.99,1.77,1.86,2.08,2.25,2.25,1.88,1.79,1.95,2.03,1-2,2-2
24-12,13:00,Ethiopia Premier League,Arba Minch,Mekelle  Enderta FC,-0.25,0,0.25,0,2.08,1.83,1.74,1.93,1.75,1.75,1.85,1.85,1.93,1.90,0-1,0-2
24-12,13:00,Kosovo Superliga,KF Drita Gjilan,Prishtina,-0.5,-0.25,0.5,0.25,2.01,1.91,1.75,1.81,2.25,2.25,1.85,2.01,1.88,1.72,2-0,2-0
24-12,13:00,Thai League 1,BG Pathum United,DP Kanchanaburi,-1,-0.75,1,0.75,1.80,1.79,2.07,1.99,3,2.75,1.98,1.88,1.85,1.87,1-0,2-1
24-12,13:00,Turkey A2 League U19,Alanyaspor U,Antalyaspor U,0.5,0.5,-0.5,-0.5,1.88,1.85,1.90,1.90,2.75,2.75,1.97,1.96,1.83,1.80,1-1,1-1
24-12,12:00,Thai League 1,Ratchaburi FC,Chiangrai United,-1,-0.75,1,0.75,1.87,1.85,1.98,1.93,2.75,2.5,1.88,1.90,1.95,1.85,1-0,1-2
24-12,12:00,Thai League 1,Sukhothai,Buriram United,1,1.25,-1,-1.25,2.06,2.01,1.81,1.78,3,3,1.91,1.90,1.93,1.85,0-0,0-1
24-12,11:30,Azerbaijan Division 2,Baku Sporting,Zaqatala FK,0,-0.25,0,0.25,1.89,2.01,1.85,1.72,2.25,2.25,1.98,1.93,1.77,1.79,1-0,2-1
