Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
28-01,20:00,Belgian Second Division,Anderlecht II,Genk II,-0.25,-0.25,0.25,0.25,1.81,1.85,2.05,1.92,3,2.75,2.04,1.76,1.81,1.96,1-0,4-1
28-01,20:00,Belgian Second Division,SC Lokeren-Temse,KAS Eupen,0,0,0,0,1.91,2.02,1.94,1.77,2.5,2.5,1.89,1.88,1.94,1.88,0-0,0-0
28-01,20:00,Belgian Second Division,Seraing United,Lierse,0.5,0,-0.5,0,1.82,1.83,2.04,1.94,2.75,2.75,1.87,1.94,1.96,1.81,0-2,0-2
28-01,20:00,Holland Eredivisie,Heracles Almelo,Groningen,-0.25,0,0.25,0,2.17,1.85,1.75,1.96,2.5,2.5,2.30,1.85,1.65,1.95,1-0,1-1
28-01,10:30,Myanmar Professional League,Dagon Port,Hantharwady United,1.5,1.25,-1.5,-1.25,1.90,1.87,1.84,1.84,3.75,4,1.85,1.94,1.89,1.77,0-2,1-2
28-01,20:45,England Championship,Portsmouth,Millwall,-0.25,0,0.25,0,2.04,2.11,1.87,1.74,2,2.25,2.06,1.95,1.84,1.85,0-1,0-1
28-01,20:45,England League 1,Bolton Wanderers,Northampton Town,-1.25,-1.25,1.25,1.25,1.98,1.94,1.90,1.94,2.75,2.75,2.04,1.93,1.84,1.93,2-1,3-1
28-01,20:45,England League 1,Burton Albion,Reading,-0.25,0,0.25,0,2.03,1.84,1.86,1.96,2.5,2.5,1.99,1.86,1.88,1.93,2-0,3-2
28-01,20:45,England League 1,Charlton Athletic,Bristol Rovers,-1,-1,1,1,1.88,1.99,2.00,1.82,2.5,2.5,1.87,1.92,2.01,1.87,2-0,2-0
28-01,20:45,England League 1,Exeter City,Leyton Orient,0.25,0.25,-0.25,-0.25,2.03,1.91,1.87,1.98,2.25,2.25,1.93,1.93,1.93,1.86,0-4,2-6
28-01,21:00,England League 1,Huddersfield Town,Birmingham City,0.25,0.25,-0.25,-0.25,1.92,1.87,1.97,2.02,2.25,2.25,2.03,1.86,1.85,2.01,0-0,0-1
