Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
25-01,02:00,Costa Rica Primera Division,Puntarenas,Guadalupe FC,-1,-0.75,1,0.75,2.04,1.83,1.83,1.93,2.5,2.5,1.89,1.88,1.94,1.87,0-0,0-0
25-01,02:00,Liga de Expansion MX,Tlaxcala,Irapuato,0,0,0,0,2.00,1.95,1.86,1.82,2.5,2.5,2.01,1.87,1.84,1.88,2-1,2-1
25-01,02:00,Mexico Liga MX Femenil,Juarez FC (W),Cruz Azul (W),0,0,0,0,1.98,1.99,1.87,1.79,2.5,2.75,1.89,1.98,1.94,1.78,0-1,1-1
25-01,02:00,Brazil Campeonato Carioca,Botafogo RJ,Bangu,-1.5,-0.75,1.5,0.75,1.81,1.78,2.01,1.98,2.5,2.25,1.88,1.81,1.93,1.93,0-0,2-0
25-01,02:00,Primera Division de El Salvador,Alianza San Salvador,Luis Angel Firpo,-0.25,-0.25,0.25,0.25,1.78,1.94,2.06,1.80,2.25,2.25,1.97,1.92,1.85,1.83,0-0,2-3
25-01,02:00,Liga Nacional de Guatemala,C.S.D. Comunicaciones,Coban Imperial,-1,-0.75,1,0.75,2.06,1.95,1.78,1.79,2.25,2.25,1.94,1.80,1.88,1.94,1-1,2-3
25-01,02:00,Mexico Liga Premier Serie A,Tigres de Alica FC,Reboceros de La Piedad,-1,-0.5,1,0.5,1.96,1.76,1.79,1.96,2.75,2.75,1.78,1.83,1.96,1.88,2-1,2-1
25-01,02:00,Brazil Campeonato Roraimense,GA Sampaio,River(RR),-1.75,-2,1.75,2,1.92,1.77,1.81,1.93,3.25,3.25,1.89,1.76,1.83,1.95,1-1,2-2
25-01,02:00,International Club Friendly,Nacional Montevideo,D. Concepcion,-1,-1.5,1,1.5,1.75,1.78,1.95,1.94,2.5,2.75,1.83,1.94,1.92,1.78,1-0,1-0
25-01,03:00,Argentine Division 1,Rosario Central,Belgrano,-0.5,-0.5,0.5,0.5,1.96,1.81,1.94,2.03,2,2,2.05,1.97,1.85,1.83,1-0,1-2
25-01,03:00,Liga de Expansion MX,Cancun,Alebrijes de Oaxaca,-0.75,-1.25,0.75,1.25,1.93,1.91,1.92,1.86,2.5,2.75,1.97,1.78,1.87,1.99,0-0,1-1
25-01,03:00,Mexico Liga Premier Serie A,Lobos ULM,Sporting Canamy,-0.25,-0.5,0.25,0.5,1.83,1.87,1.91,1.84,3,2.75,1.97,1.92,1.78,1.79,2-1,2-1
25-01,03:00,Mexico Liga Premier Serie A,Jaguares Chiapas FC,Montaneses FC,-0.25,-0.75,0.25,0.75,1.83,1.95,1.91,1.77,2.75,2.5,1.77,1.78,1.98,1.94,0-0,3-3
25-01,03:00,Nicaragua Liga Primera,Real Esteli,UNAN Managua,-2,-1.75,2,1.75,1.87,1.95,1.90,1.79,3.25,3.25,1.84,1.95,1.93,1.79,1-2,6-3
25-01,03:00,Mexico Liga TDP,Halcones Negros FC,SK Sport Street Soccer FC,-0.5,-0.5,0.5,0.5,1.89,1.91,1.85,1.81,3.5,3.5,1.89,1.79,1.85,1.92,1-1,4-2
25-01,03:30,Categoria Primera A,Boyaca Chico,America de Cali,0.25,0.25,-0.25,-0.25,2.11,2.01,1.77,1.78,1.75,2.25,1.89,1.90,1.93,1.87,0-1,0-1
25-01,03:30,Panama Liga Nacional de Ascenso,CD Arabe Unido,Alianza FC (PAN),-0.25,-0.25,0.25,0.25,1.98,1.88,1.85,1.85,2,2.25,1.81,1.96,2.01,1.79,0-2,2-2
25-01,03:30,Liga Nacional de Honduras,Real Espana,Olancho FC,-0.75,-0.5,0.75,0.5,1.83,1.99,1.96,1.78,2.5,2.5,1.86,1.94,1.93,1.81,2-0,2-0
25-01,04:00,Costa Rica Primera Division,Alajuelense,AD San Carlos,-1.25,-1.25,1.25,1.25,1.95,1.85,1.90,1.91,2.5,2.5,1.89,1.87,1.94,1.88,0-0,1-0
25-01,04:00,Liga de Expansion MX,Venados FC,CSyD Dorados de Sinaloa,-1,-1.25,1,1.25,1.81,1.96,2.05,1.81,3.25,3,1.99,1.78,1.85,1.98,2-0,4-4
25-01,04:00,Mexico Liga MX Femenil,Tigres (W),Atlas (W),-2.75,-2.25,2.75,2.25,1.91,1.83,1.91,1.99,3.75,3.75,1.97,1.94,1.84,1.84,1-1,3-1
25-01,04:00,Liga Nacional de Guatemala,Marquense,CD Achuapa,-1,-0.75,1,0.75,2.02,1.79,1.81,1.96,2.25,2.25,2.07,1.91,1.77,1.83,0-0,1-0
25-01,04:05,International Club Friendly,Universitario De Deportes,Universidad de Chile,0,-0.25,0,0.25,1.88,1.83,1.86,1.88,2.25,2.25,2.00,1.83,1.76,1.88,1-0,3-0
25-01,05:00,Australia W-League,Wellington Phoenix (W),Adelaide United (W),-0.5,-0.5,0.5,0.5,1.89,1.78,1.96,2.00,2.75,2.75,1.91,1.87,1.93,1.88,2-0,3-1
25-01,05:30,India Santosh Trophy,Nagaland,Tamil Nadu,0.75,0.75,-0.75,-0.75,1.94,1.88,1.80,1.83,3,3,1.95,1.95,1.80,1.77,0-1,0-3
25-01,07:00,Hong Kong FA Cup Junior Division,South China AA,Kwai Tsing District FA,-3,-3,3,3,1.79,1.87,1.93,1.81,4.25,4,1.88,1.87,1.83,1.81,0-0,1-0
25-01,07:00,Hong Kong FA Cup Junior Division,Supreme FC,Yau Tsim Mong,-3.25,-3,3.25,3,1.93,1.78,1.78,1.91,4.5,4.5,1.86,1.88,1.85,1.81,3-1,5-1
25-01,07:30,Hong Kong FA Cup Junior Division,Hoi Jing,New fair Kuitan,0.25,0,-0.25,0,1.90,1.97,1.84,1.70,3.75,3.25,1.92,1.88,1.82,1.83,1-0,2-0
25-01,07:30,Hong Kong FA Cup Junior Division,Sing FC,Wing Yee FT,-1.25,-0.5,1.25,0.5,1.85,1.81,1.89,1.91,3.5,3.25,1.80,1.85,1.94,1.85,1-0,4-0
25-01,07:30,Hong Kong FA Cup Junior Division,Central Western District RSA,Qi Yi FC,-3.75,-3.5,3.75,3.5,1.85,1.93,1.86,1.76,5.25,5,1.85,1.87,1.86,1.81,3-0,8-0
25-01,07:30,Hong Kong FA Cup Junior Division,Citizen,Tuen Mun Football Team,-2,-1.5,2,1.5,1.88,1.94,1.84,1.78,4,3.5,1.89,1.88,1.83,1.83,0-1,3-1
25-01,07:30,Hong Kong FA Cup Junior Division,Lucky Mile FC,Wan Chai,-0.25,-0.5,0.25,0.5,1.81,1.86,1.93,1.85,4,4,1.87,1.84,1.87,1.87,0-1,1-3
25-01,08:00,Australia W-League,Melbourne Victory (W),Sydney FC (W),-0.75,-1.25,0.75,1.25,1.85,1.83,2.01,1.95,2.5,2.75,1.82,1.77,2.03,2.00,0-0,0-0
25-01,08:00,Philippines UFL,UE Red Warriors,DLSU Green Archers,2,2,-2,-2,1.81,1.78,1.93,1.92,3,2.75,1.98,1.74,1.76,1.97,0-1,0-3
25-01,09:00,Hong Kong Premier League,Biu Chun Rangers,Hong Kong FC,-1.25,-1.25,1.25,1.25,1.81,1.86,2.02,1.85,3,3.25,1.80,1.94,2.03,1.81,4-2,5-2
25-01,09:00,Hong Kong Premier League,Kitchee,Tai Po FC,-0.75,-0.5,0.75,0.5,1.90,1.97,1.92,1.78,3,3,1.93,1.97,1.88,1.78,4-0,4-2
25-01,09:00,South Africa Reserve League,Polokwane City Reserves,Stellenbosch FC Reserves,0.75,1,-0.75,-1,1.95,1.85,1.79,1.85,2.25,2.75,1.83,1.80,1.91,1.91,0-0,0-1
25-01,09:30,Hong Kong FA Cup Junior Division,Sham Shui Po,Sui Tung,-2.75,-3,2.75,3,1.79,1.81,1.93,1.87,4,4,1.96,1.82,1.76,1.86,0-0,4-0
25-01,09:30,Vietnam Championship U19,Song Lam Nghe An U,Viettel U,0,0,0,0,1.83,1.98,1.92,1.74,2.25,2.5,1.77,1.86,1.98,1.85,0-0,2-0
25-01,10:00,Australia A-League,Western Sydney,Perth Glory,-0.5,-0.5,0.5,0.5,1.94,1.89,1.96,1.93,2.75,3,1.95,2.01,1.93,1.80,0-0,1-0
25-01,10:00,Cyprus Women Division 1,Lakatamia FC (W),Aris Limassol  (W),3,3,-3,-3,1.85,1.92,1.85,1.77,3.75,4,1.79,1.92,1.93,1.77,1-0,1-2
