Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
21-03,00:00,FIFA World Cup qualification (CONMEBOL),Paraguay,Chile,-0.5,-0.5,0.5,0.5,1.93,1.81,1.97,2.02,2,2.25,2.05,2.02,1.85,1.79,0-0,1-0
20-03,17:00,FIFA World Cup qualification (CAF),Sierra Leone,Guinea Bissau,0.25,-0.25,-0.25,0.25,1.90,1.98,1.95,1.80,2,2,2.05,1.88,1.80,1.87,1-0,3-1
20-03,17:00,FIFA World Cup qualification (CAF),Zimbabwe,Benin,0,0.25,0,-0.25,2.12,1.85,1.77,1.93,1.75,2,1.81,1.85,2.04,1.91,1-2,2-2
20-03,17:00,FIFA World Cup qualification (CAF),Cape Verde,Mauritius,-1.75,-1.25,1.75,1.25,1.88,1.82,1.95,1.95,2.5,2,1.85,1.75,1.97,2.02,0-0,1-0
20-03,20:00,FIFA World Cup qualification (CAF),Libya,Angola,0.25,0.25,-0.25,-0.25,1.75,1.83,2.15,1.95,1.75,2,1.94,1.93,1.89,1.82,0-0,1-1
20-03,20:00,FIFA World Cup qualification (CAF),Gabon,Seychelles,-4.25,-2.75,4.25,2.75,1.82,1.85,1.94,1.89,5,3.25,1.85,1.79,1.88,1.94,2-0,3-0
20-03,20:00,FIFA World Cup qualification (CAF),Gambia,Kenya,-0.25,0,0.25,0,1.95,2.03,1.90,1.76,2,2,2.05,2.04,1.80,1.74,0-0,3-3
20-03,14:00,FIFA World Cup qualification (CAF),Mozambique,Uganda,0,0,0,0,1.98,1.85,1.88,1.89,1.75,2,1.82,1.90,2.03,1.85,3-1,3-1
20-03,17:00,FIFA World Cup qualification (CAF),Malawi,Namibia,-0.25,-0.25,0.25,0.25,1.97,2.06,1.88,1.69,1.75,2,1.90,1.82,1.93,1.94,0-1,0-1
20-03,22:00,FIFA World Cup qualification (CAF),Comoros,Mali,0.75,0.75,-0.75,-0.75,1.99,1.82,1.87,1.96,1.75,2,1.76,1.91,2.07,1.85,0-1,0-3
20-03,17:00,FIFA World Cup qualification (AFC),Iran,United Arab Emirates,-1.25,-1.25,1.25,1.25,2.09,1.99,1.81,1.82,2.5,2.75,2.04,1.84,1.84,1.95,1-0,2-0
20-03,19:15,FIFA World Cup qualification (AFC),Qatar,North Korea,-1,-1.25,1,1.25,2.05,1.91,1.85,1.89,2.5,2.5,1.99,1.80,1.88,2.00,3-0,5-1
20-03,17:00,FIFA World Cup qualification (AFC),Uzbekistan,Kyrgyzstan,-1.75,-1.75,1.75,1.75,1.81,1.90,2.07,1.88,3,3,1.96,1.90,1.89,1.87,1-0,1-0
20-03,12:00,FIFA World Cup qualification (AFC),South Korea,Oman,-2,-1.5,2,1.5,2.05,1.95,1.83,1.85,3,2.5,1.92,1.90,1.93,1.88,1-0,1-1
20-03,19:15,FIFA World Cup qualification (AFC),Iraq,Kuwait,-1.25,-1.25,1.25,1.25,1.84,1.85,2.06,1.95,2.25,2.5,1.85,1.98,2.03,1.81,0-1,2-2
20-03,19:15,FIFA World Cup qualification (AFC),Jordan,Palestine,-0.75,-0.75,0.75,0.75,1.80,1.77,2.11,2.04,2.25,2.25,1.98,2.00,1.89,1.79,3-1,3-1
20-03,11:35,FIFA World Cup qualification (AFC),Japan,Bahrain,-2.25,-2.25,2.25,2.25,1.88,2.03,2.00,1.77,3.25,3,1.85,1.90,2.01,1.87,0-0,2-0
20-03,10:10,FIFA World Cup qualification (AFC),Australia,Indonesia,-1,-1.75,1,1.75,1.88,1.84,2.00,1.95,2.5,3,1.84,1.91,2.04,1.86,3-0,5-1
20-03,19:15,FIFA World Cup qualification (AFC),Saudi Arabia,China,-1.25,-1.25,1.25,1.25,1.95,1.79,1.93,2.02,2.75,2.75,1.92,1.85,1.95,1.94,0-0,1-0
20-03,12:00,Denmark Youth U19,Brondby U,Esbjerg U,-1.25,-1.25,1.25,1.25,1.78,1.94,1.97,1.72,3.75,4,1.92,1.88,1.83,1.83,2-1,4-4
20-03,14:00,England U21 Professional Development League 2,Queens Park R U,Watford U,0.5,0,-0.5,0,1.96,1.88,1.86,1.85,3.5,3.75,1.83,1.87,1.98,1.85,0-0,0-0
20-03,16:00,Ghana Premier League,Accra Lions,Karela United FC,-0.5,-0.75,0.5,0.75,1.82,1.97,1.93,1.75,1.75,2,1.77,1.87,1.98,1.84,0-0,0-0
20-03,17:30,Israel - Liga Alef,MS Hapoel Lod,Agudat Sport Nordia Jerusalem,1.25,1.5,-1.25,-1.5,1.83,1.77,1.84,1.94,3,2.75,1.89,1.88,1.77,1.83,0-1,3-2
20-03,19:00,Israel Women First National,Hapoel Jerusalem (W),Hapoel Petah Tikva (W),-0.5,-0.5,0.5,0.5,1.91,1.78,1.79,1.93,2.5,3,1.85,1.85,1.85,1.85,2-0,3-0
20-03,18:00,Israel Women First National,Maccabi Hadera (W),AS Tel Aviv University (W),0,0,0,0,1.80,1.92,2.00,1.79,2.75,2.75,1.96,1.78,1.83,1.93,1-0,1-0
20-03,17:50,Israel Women First National,Maccabi Kiryat Gat (W),Hapoel Beer Sheva (W),-3.25,-4.5,3.25,4.5,1.96,1.89,1.80,1.79,4.25,5.5,1.81,1.89,1.94,1.79,2-1,2-2
20-03,21:30,Jamaica Premier League,Chapelton,Humble Lions,-0.25,-0.25,0.25,0.25,1.81,1.96,1.99,1.80,2.75,2.5,2.01,1.93,1.79,1.82,2-1,2-1
21-03,00:00,Jamaica Premier League,Montego Bay Utd,Molynes United,-1.5,-1.5,1.5,1.5,1.90,1.85,1.88,1.91,2.75,3,1.79,1.93,2.01,1.83,2-0,5-0
20-03,20:45,UEFA Nations League,Croatia,France,0.5,0.25,-0.5,-0.25,1.97,1.90,1.93,1.92,2.25,2.5,1.91,1.94,1.98,1.86,2-0,2-0
20-03,20:45,UEFA Nations League,Denmark,Portugal,0.25,0.25,-0.25,-0.25,2.01,1.88,1.90,1.94,2.25,2.25,1.90,1.85,1.98,1.95,0-0,1-0
20-03,20:45,UEFA Nations League,Italy,Germany,0,0,0,0,1.94,1.96,1.96,1.86,2.25,2.25,1.90,1.85,1.98,1.96,1-0,1-2
20-03,20:45,UEFA Nations League,Netherlands,Spain,0.25,0,-0.25,0,1.90,2.04,2.01,1.79,2.5,2.5,1.86,2.01,2.03,1.81,1-1,2-2
