Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
22-04,19:15,Croatia 1.Division,NK Lokomotiva Zagreb,HNK Sibenik,-0.75,-0.75,0.75,0.75,1.90,1.91,1.95,1.86,2.5,2.25,1.93,1.78,1.90,1.98,1-1,1-2
22-04,17:00,Croatia 1.Division,Slaven Belupo,NK Varteks Varazdin,-0.25,-0.25,0.25,0.25,1.95,1.85,1.90,1.92,2.25,2.25,2.05,1.98,1.80,1.79,0-0,0-1
22-04,19:00,Poland Ekstraklasa,Stal Mielec,Gornik Zabrze,0,0,0,0,2.01,1.95,1.88,1.85,2.5,2.5,1.84,1.86,2.04,1.93,0-0,0-0
22-04,19:00,Poland Liga 1,Kotwica Kolobrzeg,Ruch Chorzow,0.5,0.75,-0.5,-0.75,1.83,1.93,2.03,1.85,2.75,2.5,1.88,1.99,1.95,1.78,1-1,2-3
22-04,21:00,English Premier League,Manchester City,Aston Villa,-0.5,-1,0.5,1,1.91,1.99,2.02,1.83,3,3.25,2.02,1.91,1.89,1.89,1-1,2-1
22-04,20:45,France Ligue 1,Nantes,Paris Saint Germain (PSG),1.5,1.5,-1.5,-1.5,1.88,1.99,2.06,1.83,3.25,3.5,1.97,1.93,1.93,1.88,0-1,1-1
22-04,19:00,Spanish La Liga,Valencia,RCD Espanyol,-0.5,-0.75,0.5,0.75,2.06,1.90,1.87,1.92,2.25,2.25,2.00,1.89,1.91,1.91,0-1,1-1
22-04,21:30,Spanish La Liga,FC Barcelona,Mallorca,-1.5,-2,1.5,2,1.96,1.94,1.96,1.86,3,3.25,1.95,1.85,1.95,1.93,0-0,1-0
22-04,18:20,Saudi Professional League,Al-Wehda,Al-Ahli SFC,1.75,1.5,-1.75,-1.5,1.93,1.98,1.90,1.80,3.25,3.25,1.96,1.86,1.86,1.89,0-1,2-3
22-04,18:05,Saudi Professional League,Damac FC,Al-Nassr,1.25,1.5,-1.25,-1.5,1.95,1.81,1.90,1.97,2.75,3.25,1.82,1.83,2.02,1.93,1-1,2-3
22-04,14:00,England U21 Professional Development League 2,Wigan U,Coventry U,0,-0.25,0,0.25,1.83,1.83,1.99,1.96,4,3.75,2.00,1.81,1.81,1.96,0-1,1-2
22-04,14:00,England U21 Professional Development League 2,Crewe U,Sheffield Wed U,0.5,1,-0.5,-1,1.89,1.94,1.93,1.85,3.5,3.75,1.81,1.97,2.00,1.81,3-0,3-2
