Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
04-05,12:00,Singapore League,Lion City Sailors,Geylang International,-1.75,-1.5,1.75,1.5,1.93,1.81,1.87,1.93,4.25,4.25,1.88,1.90,1.93,1.84,2-1,2-3
04-05,18:15,Croatia 1.Division,Rijeka,HNK Gorica,-1.25,-1.25,1.25,1.25,2.03,1.80,1.83,1.98,2.5,2.5,2.03,1.92,1.82,1.83,2-0,2-1
04-05,16:00,Croatia 1.Division,Slaven Belupo,ZNK Osijek,-0.5,-0.25,0.5,0.25,2.05,1.85,1.81,1.93,2.5,2.5,1.85,1.96,2.00,1.88,0-3,1-4
04-05,14:45,Poland Ekstraklasa,Cracovia Krakow,Lechia Gdansk,0,-0.5,0,0.5,1.94,1.89,1.94,1.91,2.75,3,1.92,1.97,1.95,1.83,0-0,0-2
04-05,17:30,Poland Ekstraklasa,Jagiellonia Bialystok,Gornik Zabrze,-1,-0.5,1,0.5,2.00,1.93,1.89,1.87,3,2.75,1.98,1.81,1.89,1.99,1-1,1-1
04-05,12:15,Poland Ekstraklasa,Piast Gliwice,Radomiak Radom,-0.25,-0.5,0.25,0.5,2.04,2.05,1.85,1.77,2.25,2.25,2.10,1.92,1.79,1.87,0-0,0-0
04-05,14:30,Poland Liga 1,Arka Gdynia,LKS Nieciecza,-0.25,-0.5,0.25,0.5,1.83,1.94,2.03,1.83,2.5,2.5,1.88,1.92,1.95,1.84,2-1,2-1
04-05,12:00,Poland Liga 1,Miedz Legnica,Odra Opole,-0.75,-0.75,0.75,0.75,1.88,1.76,1.96,2.04,2.5,2.5,1.91,1.89,1.93,1.86,1-1,2-1
04-05,17:00,Poland Liga 1,LKS Lodz,Stal Rzeszow,-0.5,-0.5,0.5,0.5,1.83,1.89,2.03,1.88,3,2.75,1.92,1.87,1.92,1.88,2-0,5-0
04-05,17:00,Bulgaria B PFG,Ludogorets Razgrad II,Belasitsa Petrich,-0.25,-0.25,0.25,0.25,1.74,1.86,2.02,1.85,2.5,2,2.00,1.84,1.75,1.87,2-0,4-0
04-05,15:00,English Premier League,Brentford,Manchester United,-1,-0.25,1,0.25,2.09,1.81,1.85,2.02,3,3,1.85,1.93,2.07,1.86,2-1,4-3
04-05,15:00,English Premier League,Brighton Hove Albion,Newcastle United,0.25,0,-0.25,0,1.99,2.05,1.93,1.78,3,3.25,1.93,1.95,1.98,1.85,1-0,1-1
04-05,17:30,English Premier League,Chelsea,Liverpool,-0.25,0.25,0.25,-0.25,2.05,1.80,1.88,2.04,3.25,3,2.01,1.81,1.90,2.01,1-0,3-1
04-05,15:00,English Premier League,West Ham United,Tottenham Hotspur,-0.5,0,0.5,0,1.88,1.80,2.05,2.03,3,3.25,1.97,1.91,1.93,1.88,1-1,1-1
04-05,14:30,Holland Eredivisie,Go Ahead Eagles,AZ Alkmaar,0.5,0.25,-0.5,-0.25,2.03,1.81,1.88,2.03,3,2.75,1.93,1.84,1.95,1.97,0-2,0-3
04-05,12:15,Holland Eredivisie,NAC Breda,PEC Zwolle,-0.25,-0.25,0.25,0.25,1.85,1.94,2.07,1.87,2.75,2.5,2.05,1.88,1.85,1.93,0-0,1-3
04-05,14:30,Holland Eredivisie,Sparta Rotterdam,FC Twente Enschede,0,0,0,0,1.80,1.93,2.14,1.88,2.75,2.75,1.93,1.93,1.95,1.87,0-2,0-2
04-05,14:30,Poland Division 2,Rekord Bielsko-Biala,Podbeskidzie Bielsko-Biala,0.25,0.25,-0.25,-0.25,1.87,1.79,1.95,2.00,2.75,2.75,1.94,1.98,1.88,1.81,0-2,0-2
04-05,19:30,Poland Division 2,Resovia Rzeszow,Pogon Grodzisk Mazowiecki,0.25,0.25,-0.25,-0.25,2.01,1.95,1.82,1.79,3,2.75,1.85,1.92,1.96,1.82,1-0,2-0
04-05,12:00,Poland Division 2,Zaglebie Lubin B,Olimpia Elblag,-1.5,-1,1.5,1,1.97,1.76,1.85,1.99,3,2.75,1.79,1.85,2.05,1.89,3-1,4-2
04-05,13:00,Russia Premier League,Fakel,Spartak Moscow,1,1,-1,-1,1.81,2.01,2.12,1.81,2.5,2.25,1.98,1.94,1.91,1.86,0-0,0-0
04-05,15:30,Russia Premier League,Terek Grozny,CSKA Moscow,-0.25,0.25,0.25,-0.25,2.14,1.78,1.80,2.06,2.25,2.25,1.94,1.80,1.94,2.01,1-1,1-1
04-05,18:30,Russia Premier League,Khimki,Rostov FK,0,0.25,0,-0.25,1.86,1.96,2.05,1.86,2.75,2.75,1.88,1.87,2.02,1.93,0-0,1-1
04-05,18:30,Russia Premier League,Zenit St. Petersburg,FK Nizhny Novgorod,-2,-1.75,2,1.75,1.91,1.79,1.98,2.03,3,3,1.83,1.91,2.05,1.88,0-1,2-1
04-05,17:15,France Ligue 1,AJ Auxerre,Le Havre,-0.25,-0.5,0.25,0.5,2.13,1.84,1.82,1.98,2.75,2.75,1.95,1.88,1.95,1.92,0-0,1-2
04-05,17:15,France Ligue 1,Stade Brestois,Montpellier,-1.5,-1.5,1.5,1.5,2.02,2.02,1.90,1.81,3,3,1.90,1.80,2.01,2.01,1-0,1-0
04-05,20:45,France Ligue 1,Lille,Marseille,-0.25,-0.25,0.25,0.25,2.10,2.00,1.84,1.82,2.5,2.75,1.85,1.90,2.06,1.90,0-0,1-1
04-05,17:15,France Ligue 1,Lyon,Lens,-1.25,-0.75,1.25,0.75,1.90,1.93,2.02,1.89,3.25,3.25,1.88,2.01,2.03,1.80,0-1,1-2
04-05,15:00,France Ligue 1,Nantes,Angers,-0.5,-0.5,0.5,0.5,2.02,1.80,1.91,2.03,2.25,2.5,1.93,2.03,1.97,1.79,0-0,0-1
04-05,13:30,Hungary Borsodi Liga,Diosgyor VTK,ZalaegerzsegTE,0.25,0.25,-0.25,-0.25,1.91,1.75,1.94,2.05,2.75,2.5,1.99,1.80,1.85,1.96,0-0,1-1
04-05,18:30,Hungary Borsodi Liga,Fehervar Videoton,Paksi SE Honlapja,0,0.25,0,-0.25,2.09,1.86,1.78,1.91,2.75,2.75,1.85,1.79,2.00,1.97,0-1,0-2
04-05,16:00,Hungary Borsodi Liga,Kecskemeti TE,Nyiregyhaza,-0.5,-0.5,0.5,0.5,2.07,2.04,1.80,1.76,2.25,2.25,1.81,1.82,2.04,1.94,0-1,2-2
04-05,18:30,Spanish La Liga,RCD Espanyol,Real Betis,0.25,0.25,-0.25,-0.25,1.86,1.99,2.07,1.83,2.25,2.5,1.84,1.99,2.08,1.81,1-0,1-2
04-05,14:00,Spanish La Liga,Real Madrid,Celta Vigo,-1.5,-1.5,1.5,1.5,2.07,1.86,1.86,1.96,3.5,3.5,2.00,1.93,1.91,1.87,2-0,3-2
04-05,21:00,Spanish La Liga,Real Sociedad,Athletic Bilbao,-0.25,0,0.25,0,2.16,2.04,1.79,1.79,2,2,2.05,1.76,1.86,2.07,0-0,0-0
04-05,16:15,Spanish La Liga,Sevilla,Leganes,-0.75,-1,0.75,1,1.88,2.07,2.06,1.77,2.25,2.25,1.93,1.90,1.98,1.90,1-1,2-2
04-05,16:00,Luxembourg National Division,Bettembourg,Racing Union Luxemburg,1.75,1.5,-1.75,-1.5,1.82,1.77,1.99,1.98,3,2.75,1.79,1.83,2.03,1.90,0-0,0-0
04-05,16:00,Luxembourg National Division,Red Boys Differdange,Rodange,-1.75,-2.25,1.75,2.25,1.81,1.93,2.00,1.80,3.25,4,1.93,1.92,1.88,1.81,0-0,0-0
04-05,16:00,Luxembourg National Division,Hostert,Progres Niedercorn,1.25,1,-1.25,-1,1.88,1.81,1.93,1.93,3.25,2.75,2.04,1.77,1.79,1.98,1-2,1-3
04-05,16:00,Luxembourg National Division,Jeunesse Esch,UNA Strassen,1.25,1,-1.25,-1,1.96,1.81,1.86,1.93,3,2.5,1.82,1.84,2.01,1.90,2-0,3-2
04-05,16:00,Luxembourg National Division,Mondercange,Fola Esch,0,-0.25,0,0.25,1.97,1.89,1.85,1.89,2.5,2.75,1.91,1.94,1.91,1.84,0-0,0-1
04-05,16:00,Luxembourg National Division,CS Petange,US Mondorf-les-Bains,0.25,0,-0.25,0,1.91,1.88,1.91,1.86,2.75,2.75,1.95,1.95,1.86,1.79,0-1,1-2
04-05,16:00,Luxembourg National Division,Victoria Rosport,FC Wiltz,0.25,0.25,-0.25,-0.25,1.95,1.81,1.87,1.93,3,3,1.97,1.91,1.85,1.83,0-0,1-1
04-05,18:30,Spanish La Liga 2,Almeria,Eldense,-1.25,-0.75,1.25,0.75,1.93,1.78,1.97,2.06,3,2.5,2.01,1.83,1.88,1.97,2-0,5-0
04-05,21:00,Spanish La Liga 2,Deportivo La Coruna,Albacete,-0.5,-0.5,0.5,0.5,1.93,1.93,1.97,1.89,2.75,2.5,1.93,1.81,1.95,1.99,2-1,5-1
04-05,18:30,Spanish La Liga 2,FC Cartagena,Racing Santander,1.25,0.75,-1.25,-0.75,1.83,1.93,2.09,1.89,2.75,2.5,1.83,1.87,2.08,1.93,1-0,1-0
04-05,16:15,Spanish La Liga 2,Racing de Ferrol,Real Zaragoza,0.5,0.5,-0.5,-0.5,1.92,1.81,1.98,2.02,2.25,2,2.08,1.78,1.80,2.04,0-1,1-2
04-05,14:00,Spanish La Liga 2,Levante,Tenerife,-0.75,-0.75,0.75,0.75,2.01,1.93,1.90,1.88,2.5,2.25,2.08,1.88,1.83,1.92,0-1,1-1
04-05,10:30,Austria Erste Division,First Wien,Kapfenberg,-0.75,-0.75,0.75,0.75,1.89,1.93,1.96,1.84,3,2.75,1.88,1.85,1.95,1.90,0-1,0-2
04-05,14:30,Ukrainian Premier League,Kolos Kovalyovka,FC Vorskla Poltava,-0.25,-0.25,0.25,0.25,2.03,1.97,1.83,1.85,1.75,2,1.77,2.06,2.08,1.77,0-0,0-0
04-05,13:00,Ukrainian Premier League,LNZ Cherkasy,Zorya,-0.5,-0.25,0.5,0.25,1.97,1.78,1.88,2.06,2,2.25,1.94,1.93,1.88,1.87,0-0,1-1
04-05,17:00,Ukrainian Premier League,Polissya Zhytomyr,PFC Oleksandria,0,0.25,0,-0.25,2.07,1.72,1.81,2.08,1.75,2,1.78,1.95,2.08,1.81,1-1,1-2
04-05,18:30,Russian National Football League,Rodina Moscow,Ural Sverdlovsk Oblast,0,0,0,0,2.11,1.90,1.77,1.87,2,2,1.91,1.91,1.93,1.85,0-0,3-2
04-05,16:00,Russian National Football League,Rotor Volgograd,Yenisey Krasnoyarsk,-0.25,-0.25,0.25,0.25,1.94,1.95,1.91,1.82,2,2,2.04,1.99,1.81,1.77,1-0,3-0
04-05,14:00,Russian National Football League,Sokol,Tyumen,0,-0.25,0,0.25,1.85,2.04,2.01,1.75,2,2,1.98,1.94,1.85,1.81,0-0,1-0
