Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
2025-06-03,16:00,Algerian Ligue Professionnelle 1,CS Constantine,USM Khenchela,-0.75,-1.0,0.75,1.0,1.89,1.85,1.96,1.97,2.25,2.25,1.96,1.85,1.88,1.96,1-1,2-1
2025-06-03,10:30,Australia Queensland State Leagues,Southside Eagles,Capalaba Bulldogs,0.75,0.5,-0.75,-0.5,2.0,1.82,1.83,1.93,3.75,3.5,1.84,1.85,1.98,1.88,1-0,1-0
2025-06-03,10:00,Australia Queensland State Leagues,Redlands United FC,Holland Park Hawks FC,-0.5,-0.75,0.5,0.75,1.94,1.79,1.88,1.95,3.75,3.75,1.82,1.86,2.01,1.88,3-1,4-3
2025-06-03,10:30,Australia Queensland State Leagues,Logan Lightning,Ipswich City,-1.0,-1.0,1.0,1.0,2.0,1.86,1.83,1.88,3.5,3.5,1.93,1.85,1.89,1.88,0-0,0-0
2025-06-03,09:30,QLD Premier League,St George Willawong FC,Eastern Suburbs Brisbane,0.75,0.5,-0.75,-0.5,1.95,1.91,1.9,1.86,3.5,3.25,1.85,1.93,2.0,1.83,0-1,0-1
2025-06-03,17:00,Sweden Division 1,IF Karlstad Fotboll,Orebro Syrianska IF,-1.75,-1.75,1.75,1.75,1.84,1.82,2.0,1.96,3.25,3.5,1.81,1.96,2.02,1.8,0-0,0-0
2025-06-03,00:00,Primera Division de Ecuador,Vinotinto de Ecuador,Libertad FC,-0.5,-0.5,0.5,0.5,1.86,1.84,1.99,1.93,2.5,2.25,1.93,1.83,1.91,1.93,0-0,1-0
2025-06-03,19:00,Chile Primera Division,Union Espanola,Deportes Limache,-0.25,-0.25,0.25,0.25,2.07,1.88,1.83,1.93,3.0,2.75,1.97,1.88,1.89,1.91,0-1,2-2
2025-06-03,18:00,Sweden Div 3 Mellersta,Friska Viljor FC,Lucksta IF,-1.0,-1.25,1.0,1.25,1.95,1.93,1.79,1.78,3.75,3.75,1.91,1.83,1.83,1.88,1-1,1-2
2025-06-03,18:30,UEFA Womens Nations League,Austria (W),Germany (W),2.25,1.5,-2.25,-1.5,1.81,1.92,2.03,1.85,3.75,3.25,1.95,1.83,1.86,1.93,0-6,0-6
2025-06-03,18:30,UEFA Womens Nations League,Netherland (W),Scotland (W),-2.25,-2.0,2.25,2.0,1.88,1.94,1.94,1.82,3.75,3.25,1.98,1.88,1.84,1.85,1-1,1-1
2025-06-03,18:00,UEFA Womens Nations League,Iceland (W),France (W),1.0,1.25,-1.0,-1.25,1.9,1.93,1.95,1.83,3.0,2.75,2.01,1.92,1.83,1.84,0-0,0-2
2025-06-03,18:00,UEFA Womens Nations League,Switzerland (W),Norway (W),0.25,0.25,-0.25,-0.25,1.94,1.82,1.91,1.96,2.5,2.25,2.01,1.83,1.83,1.93,0-1,0-1
2025-06-03,17:00,UEFA Womens Nations League,Portugal (W),Belgium (W),-0.75,-0.25,0.75,0.25,1.81,1.83,2.05,1.94,2.75,2.25,1.89,1.83,1.94,1.93,0-1,0-3
2025-06-03,17:00,UEFA Womens Nations League,Spain (W),England (W),-1.0,-1.0,1.0,1.0,1.84,1.86,2.02,1.91,3.25,2.25,2.02,1.85,1.83,1.91,0-1,2-1
2025-06-03,17:30,UEFA Womens Nations League,Sweden (W),Denmark (W),-1.0,-0.75,1.0,0.75,1.97,1.94,1.88,1.83,2.75,2.5,1.85,1.82,1.99,1.93,4-1,6-1
2025-06-03,17:30,UEFA Womens Nations League,Wales (W),Italy (W),1.25,1.0,-1.25,-1.0,1.85,1.97,2.01,1.81,2.5,2.5,1.88,1.96,1.96,1.81,0-4,1-4
2025-06-03,17:00,UEFA Womens Nations League,Bosnia and Herzegovina (W),Northern Ireland (W),0.0,0.25,0.0,-0.25,2.01,1.9,1.79,1.81,2.25,2.75,2.05,1.92,1.76,1.79,1-1,1-1
2025-06-03,17:00,UEFA Womens Nations League,Poland (W),Romania (W),-2.25,-2.0,2.25,2.0,1.95,1.89,1.82,1.8,3.0,2.75,1.81,1.81,1.97,1.89,1-0,3-0
2025-06-03,17:00,UEFA Womens Nations League,Greece (W),Turkey (W),0.5,0.5,-0.5,-0.5,1.94,1.74,1.85,1.99,2.25,2.25,2.03,1.96,1.77,1.76,0-1,0-1
2025-06-03,17:00,UEFA Womens Nations League,Ireland (W),Slovenia (W),-0.75,-0.75,0.75,0.75,1.89,1.9,1.89,1.81,2.5,2.5,1.85,1.91,1.93,1.8,1-0,1-0
2025-06-03,17:00,UEFA Womens Nations League,Finland (W),Serbia (W),-0.75,-0.75,0.75,0.75,2.0,1.85,1.8,1.86,2.25,2.25,2.05,1.77,1.76,1.95,0-0,1-1
2025-06-03,17:00,UEFA Womens Nations League,Hungary (W),Belarus (W),-1.0,-0.75,1.0,0.75,1.76,1.88,2.05,1.83,2.0,2.25,1.77,1.88,2.02,1.83,0-0,0-0
2025-06-03,17:00,UEFA Womens Nations League,Albania (W),Czech Republic (W),2.0,2.25,-2.0,-2.25,1.87,1.84,1.9,1.85,3.5,3.5,1.79,1.83,1.99,1.87,1-0,1-2
2025-06-03,17:00,UEFA Womens Nations League,Croatia (W),Ukraine (W),1.25,2.0,-1.25,-2.0,1.82,1.78,1.97,1.93,2.75,3.5,2.0,1.86,1.79,1.83,1-0,2-0
2025-06-03,17:00,UEFA Womens Nations League,Faroe Islands (W),Slovakia (W),2.5,2.0,-2.5,-2.0,1.95,1.93,1.78,1.73,3.75,3.25,1.85,1.79,1.87,1.87,1-1,1-2
2025-06-03,17:00,UEFA Womens Nations League,Gibraltar (W),Moldova (W),1.5,2.0,-1.5,-2.0,1.77,1.72,1.98,1.96,2.75,3.25,1.93,1.93,1.81,1.75,0-4,0-4
2025-06-03,17:00,UEFA Womens Nations League,Andorra (W),Malta (W),1.0,1.25,-1.0,-1.25,1.98,1.83,1.77,1.88,2.5,2.75,1.78,1.8,1.97,1.91,0-0,0-0
2025-06-03,17:00,UEFA Womens Nations League,Georgia (W),Cyprus (W),-0.5,-0.5,0.5,0.5,1.8,1.94,1.95,1.74,2.5,2.25,1.79,1.74,1.96,1.94,0-1,1-2
2025-06-03,17:00,UEFA Womens Nations League,Kazakhstan (W),Luxembourg (W),0.0,0.25,0.0,-0.25,1.93,1.77,1.82,1.9,2.75,2.75,1.88,1.92,1.85,1.76,1-0,1-3
2025-06-03,17:00,UEFA Womens Nations League,Liechtenstein (W),Armenia (W),1.75,1.5,-1.75,-1.5,1.97,1.93,1.76,1.78,3.75,3.75,1.84,1.87,1.88,1.84,1-1,2-2
2025-06-03,17:00,UEFA Womens Nations League,Lithuania (W),Montenegro (W),0.75,1.75,-0.75,-1.75,1.85,1.88,1.88,1.77,2.25,2.5,1.75,1.79,1.98,1.87,0-0,0-1
2025-06-03,17:00,UEFA Womens Nations League,Bulgaria (W),Estonia (W),-1.25,-0.5,1.25,0.5,1.96,1.77,1.79,1.9,2.75,2.75,1.97,1.92,1.78,1.76,0-0,0-1
2025-06-03,17:00,UEFA Womens Nations League,Latvia (W),Kosovo (W),0.75,0.75,-0.75,-0.75,1.88,1.79,1.85,1.88,2.5,2.5,1.97,1.88,1.78,1.78,2-2,2-2
2025-06-03,20:30,Ecuador Campeonato Serie B,9 de Octubre,Leones del Norte,-0.25,0.0,0.25,0.0,2.09,1.7,1.76,2.08,1.75,2.0,2.0,2.02,1.83,1.75,0-0,1-0
2025-06-03,16:00,Estonia Esi Liiga,Tallinna FC Ararat TTU,Nomme JK Kalju II,-1.75,-1.25,1.75,1.25,1.84,1.97,1.88,1.75,4.0,3.5,1.93,1.83,1.79,1.88,1-0,7-0
2025-06-03,11:00,V.League 1,Binh Dinh,Cong An Ha Noi,-0.25,0.75,0.25,-0.75,2.09,1.93,1.79,1.88,2.5,2.5,2.02,2.03,1.83,1.79,1-2,1-5
2025-06-03,00:00,Brazil Serie B,SC Paysandu Para,Criciuma,-0.25,-0.25,0.25,0.25,1.96,2.01,1.93,1.81,2.0,2.0,2.04,1.84,1.84,2.04,0-0,0-1
2025-06-03,15:30,Finland - Kakkonen Lohko,GBK Kokkola,VIFK,-1.0,-0.75,1.0,0.75,1.98,1.92,1.81,1.83,3.75,3.75,1.85,1.91,1.94,1.85,1-1,3-2
2025-06-03,15:30,Finland - Kakkonen Lohko,Inter Turku II,KuPS (Youth),-2.0,-1.5,2.0,1.5,1.85,1.97,1.98,1.81,4.5,3.75,1.98,1.85,1.84,1.9,1-1,6-1
2025-06-03,20:00,CONCACAF Women Under 20,USA (W) U20,Costa Rica (W) U20,-2.5,-2.25,2.5,2.25,1.88,1.94,1.84,1.76,4.0,4.0,1.89,1.79,1.83,1.92,1-0,4-0
2025-06-03,19:30,Paraguay Cup,Atletico Colegiales,General Diaz,0.0,0.0,0.0,0.0,1.76,1.95,2.0,1.73,2.5,2.0,1.9,1.82,1.83,1.85,0-0,0-1
2025-06-03,17:00,International Friendly,Tanzania (W),Democratic Rep Congo (W),-0.5,-0.5,0.5,0.5,2.04,1.83,1.79,1.97,2.25,2.5,1.93,1.87,1.89,1.91,2-0,3-1
2025-06-03,15:00,Argentina Reserve League,Deportivo Laferrere Reserves,Real Pilar Reserves,-0.5,-0.25,0.5,0.25,1.95,1.96,1.8,1.76,2.25,2.0,2.01,1.83,1.75,1.88,0-2,0-2
2025-06-03,19:00,Colombia Copa Cup,Boca Juniors De Cali,Deportes Quindio,0.0,0.0,0.0,0.0,1.75,1.78,2.14,2.06,2.5,2.75,1.95,1.93,1.88,1.87,0-0,2-0
2025-06-03,01:15,Colombia Copa Cup,Deportivo Pereira,Fortaleza F.C,-0.5,-0.5,0.5,0.5,1.88,1.85,1.97,1.93,2.25,2.25,2.04,1.95,1.81,1.81,0-0,0-0
2025-06-03,21:00,Colombia Copa Cup,Bogota FC,Leones,-0.5,0.0,0.5,0.0,1.94,1.86,1.91,1.91,2.5,2.25,1.93,1.79,1.9,1.98,0-0,0-0
2025-06-03,09:30,Algeria U20 Youth League,USM Khenchela U21,MC El Bayadh U21,-0.75,-0.75,0.75,0.75,1.76,1.78,1.99,1.93,3.0,3.25,1.94,1.97,1.8,1.75,2-1,3-1
2025-06-03,16:00,Algeria U20 Youth League,Olympique Akbou U21,CR Belouizdad U21,0.25,-0.25,-0.25,0.25,1.97,1.84,1.77,1.87,2.75,2.5,1.83,1.85,1.91,1.85,1-2,1-2
2025-06-03,23:00,USA MLS Next Pro League,Cincinnati II,Philadelphia Union II,0.25,0.25,-0.25,-0.25,1.98,1.9,1.85,1.84,3.0,2.75,1.98,1.93,1.84,1.82,0-2,1-4
2025-06-03,23:00,USA USL League Two,Lansing City,Union FC Macomb,0.25,0.5,-0.25,-0.5,1.85,1.77,1.89,1.95,2.75,3.25,1.81,1.86,1.93,1.85,1-2,1-2
2025-06-03,23:00,USA USL League Two,Akron,Toledo Villa FC,-0.5,-0.25,0.5,0.25,1.87,1.81,1.87,1.9,3.25,2.75,1.96,1.84,1.79,1.87,1-0,3-3
2025-06-03,23:00,USA USL League Two,Boston Bolts,West Mass Pioneers,1.0,1.25,-1.0,-1.25,1.98,1.74,1.77,1.98,3.0,3.0,1.88,1.79,1.86,1.93,0-2,0-3
2025-06-03,22:00,Uruguay Segunda,Tacuarembo,CS Cerrito,-0.5,-0.5,0.5,0.5,1.88,1.96,1.93,1.79,2.25,2.25,2.0,2.03,1.83,1.74,1-0,2-0
2025-06-03,22:30,Uruguay Segunda,Rampla Juniors FC,Club Oriental,0.25,-0.25,-0.25,0.25,1.79,2.03,2.04,1.73,1.75,2.0,1.83,1.83,2.0,1.9,0-0,1-2
2025-06-03,00:00,International Friendly,Panama (W),Bolivia (W),-2.25,-2.0,2.25,2.0,1.81,1.94,1.99,1.79,3.25,2.75,1.9,1.77,1.9,1.96,1-0,5-1
2025-06-03,11:00,International Friendly,Philippines (W),Chinese Taipei (W),-0.75,-0.75,0.75,0.75,1.87,1.93,1.95,1.85,2.25,2.5,1.84,2.02,1.99,1.79,0-1,0-1
2025-06-03,11:00,International Friendly,India (W),Uzbekistan (W),0.75,0.25,-0.75,-0.25,1.81,1.92,1.94,1.82,2.0,2.25,1.79,1.99,1.95,1.76,0-0,0-1
2025-06-03,12:00,International Friendly,Bhutan  (W),Malaysia (W),-0.25,0.0,0.25,0.0,1.88,1.75,1.85,2.0,2.0,2.25,1.83,1.76,1.91,1.99,1-2,1-3
2025-06-03,12:00,Toulon Tournament,Mali U20,Panama U20,-0.75,-0.5,0.75,0.5,1.82,1.79,2.01,2.0,2.5,2.5,1.95,1.97,1.86,1.82,0-1,1-2
2025-06-03,13:00,International Friendly,South Africa (W),Zambia (W),0.0,-0.25,0.0,0.25,1.8,1.8,2.03,1.94,2.5,2.5,1.93,1.8,1.88,1.94,0-0,2-0
2025-06-03,15:20,International Friendly,Nigeria (W),Cameroon (W),-0.75,-1.0,0.75,1.0,1.91,1.96,1.91,1.83,1.75,2.0,1.8,1.81,2.03,1.98,2-0,2-0
2025-06-03,15:00,International Friendly,Armenia U21,Cyprus U21,0.0,-0.25,0.0,0.25,1.78,2.0,1.97,1.8,2.25,2.5,1.95,1.81,1.79,1.99,0-0,1-1
2025-06-03,15:30,Toulon Tournament,France U20,Saudi Arabia U23,-1.25,-0.5,1.25,0.5,1.81,1.82,2.02,1.92,2.75,2.75,1.93,1.95,1.89,1.79,0-1,2-1
2025-06-03,16:00,International Friendly,Jordan (W),Bangladesh (W),0.25,0.0,-0.25,0.0,1.92,1.98,1.83,1.77,2.5,2.25,1.85,1.79,1.88,1.96,1-1,2-2
2025-06-03,23:30,International Friendly,Canada (W),Haiti (W),-2.75,-2.25,2.75,2.25,1.89,1.82,1.86,1.91,3.75,3.0,1.81,1.93,1.95,1.81,3-1,3-1
2025-06-03,14:45,International Friendly,Croatia U21,Qatar U23,-1.25,-1.0,1.25,1.0,1.82,1.88,2.01,1.91,2.5,2.5,1.87,2.0,1.95,1.8,2-0,3-1
2025-06-03,16:00,International Friendly,New Zealand (W),Venezuela  (W),0.25,0.0,-0.25,0.0,1.87,1.76,1.95,2.0,2.25,2.25,2.03,1.81,1.8,1.94,1-1,2-1
2025-06-03,18:00,Uruguay Reserve League,CA River Plate Reserves,La Luz Reserves,-0.75,-0.25,0.75,0.25,1.86,1.91,1.88,1.81,3.0,2.75,1.91,1.94,1.83,1.77,0-1,1-2
2025-06-03,20:00,Iceland 4 Deild,KH Hlidarendi,Ellidi,-1.0,-1.0,1.0,1.0,1.93,1.79,1.81,1.93,4.25,4.25,1.95,1.88,1.79,1.83,1-1,2-2
2025-06-03,14:00,Estonia U19 League,Parnu JK Vaprus II U19,JK Nomme United U19,0.25,-0.25,-0.25,0.25,1.88,1.88,1.86,1.83,5.25,4.0,1.95,1.79,1.79,1.93,0-1,1-3
2025-06-03,18:00,Ireland Leinster Senior League,Killester Donnycarne,Usher Celtic,-0.25,-0.5,0.25,0.5,1.93,1.92,1.81,1.79,3.0,3.25,1.93,1.79,1.81,1.93,0-2,4-4
2025-06-03,15:10,Colombia Regional League,FC Leones Reserves,Belen Arco Zaragoza,-0.5,-0.25,0.5,0.25,1.87,1.88,1.87,1.83,3.0,3.25,1.79,1.85,1.95,1.86,3-0,4-1
2025-06-03,17:00,Colombia Regional League,Rionegro Aguilas Reserves,Politecnico J.I.C.,0.0,0.0,0.0,0.0,1.74,1.77,2.02,1.95,2.75,3.75,1.93,1.92,1.81,1.79,6-2,7-2
2025-06-03,18:00,Brazil national youth (U20) Football Championship,Galicia BA (Youth),SSA FC U20,-0.75,-0.75,0.75,0.75,1.89,1.98,1.85,1.75,2.0,2.0,1.76,1.85,2.0,1.85,0-0,0-0
2025-06-03,22:00,Brazil national youth (U20) Football Championship,Concordia U20,Chapecoense (Youth),1.25,1.0,-1.25,-1.0,1.81,1.74,1.93,1.99,2.75,2.75,1.77,1.79,1.98,1.93,0-1,0-3
2025-06-03,18:30,Brazil national youth (U20) Football Championship,CA Pontalinense U20,Goiania (Youth),0.25,0.0,-0.25,0.0,1.85,2.0,1.88,1.74,2.5,2.75,1.78,1.76,1.97,1.96,0-0,1-0
2025-06-03,22:30,USA National Premier Soccer League,Philadelphia Union DS,West Chester Predators,-0.25,-0.25,0.25,0.25,1.93,1.94,1.82,1.77,4.0,4.0,1.92,1.88,1.83,1.83,6-1,7-1
2025-06-03,15:30,Finland Kolmonen,JäPS/47,FC Lahti II,-3.0,-3.0,3.0,3.0,1.83,1.93,1.88,1.76,4.75,4.5,1.79,1.79,1.93,1.89,1-1,2-1
2025-06-03,16:00,Finland Kolmonen,Yllatys,Zulimanit,-1.5,-1.0,1.5,1.0,1.96,1.78,1.79,1.93,4.25,4.25,1.94,1.91,1.8,1.8,1-0,2-2
2025-06-03,17:00,Finland Kolmonen,TPV/2,FC Haka Juniors,1.0,0.75,-1.0,-0.75,1.95,1.93,1.79,1.78,3.75,4.25,1.88,1.85,1.86,1.85,1-0,1-1
2025-06-03,11:20,Australia Darwin Premier League,Darwin Olympics,Hellenic AC,-0.75,-1.25,0.75,1.25,1.93,1.98,1.88,1.81,3.5,3.5,1.85,1.95,1.97,1.84,2-0,2-1
2025-06-03,17:00,Argentina Reserve League,CA Ituzaingo Reserves,Puerto Nuevo Reserves,-0.5,-0.5,0.5,0.5,1.77,1.83,1.97,1.88,2.5,2.25,1.79,1.82,1.95,1.86,0-1,3-1
2025-06-03,18:00,Argentina Reserve League,Club Comunicaciones Reserves,Acassuso Reserves,-0.5,-0.5,0.5,0.5,1.77,1.93,1.98,1.78,2.25,2.0,1.99,1.73,1.76,2.0,1-0,3-0
2025-06-03,16:00,Argentina Reserve League,CA Colegiales Reserves,Nueva Chicago Reserves,-0.25,0.0,0.25,0.0,2.09,1.89,1.69,1.82,1.75,1.5,2.0,1.74,1.75,1.99,0-0,0-0
