Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
2025-09-21,23:30,Bolivia Primera Division,San Jose de Oruro,Blooming,-1.0,0.0,1.0,0.0,2.02,1.86,1.81,1.91,3.0,3.0,1.99,1.93,1.84,1.83,1-3,1-4
2025-09-21,23:30,Brazil Serie A,Cruzeiro,Bragantino,-1.0,-0.75,1.0,0.75,1.85,1.81,2.05,2.02,2.5,2.5,1.96,2.03,1.93,1.79,1-1,2-1
2025-09-21,23:30,Brazil Serie A,Santos,Sao Paulo,-0.25,0.0,0.25,0.0,2.0,1.74,1.89,2.12,2.0,2.0,1.88,1.91,2.0,1.89,0-0,1-0
2025-09-21,23:30,Brazil Serie B,Cuiaba,Chapecoense SC,-0.5,-0.5,0.5,0.5,1.92,1.89,1.97,1.91,2.0,2.0,1.8,1.84,2.09,1.94,0-0,1-0
2025-09-21,23:30,Primera Division de Venezuela,Deportivo Tachira,Academia Puerto Cabello,-1.0,-0.75,1.0,0.75,2.04,1.78,1.79,1.96,2.25,2.25,1.9,1.87,1.92,1.87,0-0,0-0
2025-09-21,23:30,Uruguay Segunda,Huracan FC,Villa Teresa,0.0,-0.25,0.0,0.25,1.94,1.93,1.8,1.78,2.0,2.0,1.77,1.79,1.97,1.93,2-1,3-1
2025-09-21,23:20,Categoria Primera A,Dep.Independiente Medellin,Atletico Junior Barranquilla,-0.5,-0.75,0.5,0.75,1.88,2.0,1.98,1.78,2.25,2.25,1.85,1.81,2.0,1.94,0-0,2-2
2025-09-21,23:15,Panama Liga Nacional de Ascenso,Tauro FC,CA Independente,0.0,0.25,0.0,-0.25,1.93,1.83,1.89,1.92,2.5,2.5,2.04,1.95,1.79,1.79,0-0,0-0
2025-09-21,23:15,Primera Division de Honduras,CD Victoria,CD Olimpia,1.75,1.5,-1.75,-1.5,1.83,1.83,1.94,1.93,3.0,2.5,2.0,1.81,1.79,1.94,1-0,2-3
2025-09-21,23:10,USA Major League Soccer,Austin FC,Seattle Sounders,0.25,0.25,-0.25,-0.25,1.94,1.79,1.96,2.05,2.5,2.5,1.94,1.81,1.94,2.01,1-0,2-1
2025-09-21,23:00,Liga Nacional de Guatemala,Deportivo Mictlan,Coban Imperial,-0.5,-0.5,0.5,0.5,1.97,1.98,1.85,1.77,2.25,2.25,1.89,1.93,1.93,1.82,0-0,1-0
2025-09-21,23:00,Primera Division Liga MX,Santos Laguna,Atletico San Luis,0.0,0.25,0.0,-0.25,1.88,1.76,2.03,2.09,2.75,2.5,1.86,1.86,2.03,1.94,0-1,1-4
2025-09-21,23:00,USA MLS Next Pro League,Orlando City B,Huntsville City,0.75,0.5,-0.75,-0.5,1.83,1.96,2.0,1.78,3.0,3.0,1.87,1.78,1.95,1.97,0-0,0-1
