Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
28-02,19:00,Denmark Superligaen,Randers FC,Aarhus AGF,0.25,0.25,-0.25,-0.25,1.85,1.82,2.07,2.00,2,2.25,1.79,1.79,2.13,2.03,1-1,1-1
28-02,20:45,Belgian Pro League,Charleroi,Racing Genk,0,0.25,0,-0.25,1.97,1.79,1.93,2.04,2.5,2.75,1.94,1.99,1.94,1.81,0-0,1-1
28-02,18:00,Croatia 1.Division,Istra  Pula,NK Lokomotiva Zagreb,0,0,0,0,1.81,1.74,2.06,2.05,2,2.25,1.79,1.88,2.06,1.88,3-1,3-2
28-02,20:30,Poland Ekstraklasa,Gornik Zabrze,Cracovia Krakow,-0.25,-0.25,0.25,0.25,1.95,1.96,1.93,1.93,2.5,2.5,2.01,1.92,1.86,1.87,0-0,0-1
28-02,18:00,Poland Ekstraklasa,Radomiak Radom,Widzew lodz,-0.5,-0.25,0.5,0.25,1.95,1.82,1.93,1.99,2.25,2.75,1.82,1.91,2.07,1.88,0-1,1-1
28-02,20:00,Belgian Second Division,Red Star Waasland,Zulte-Waregem,0.25,0.5,-0.25,-0.5,1.94,1.87,1.91,1.90,2.5,2.75,1.85,1.95,1.98,1.81,0-0,3-2
28-02,20:00,Belgian Second Division,LaLouviere,KAS Eupen,-0.75,-0.75,0.75,0.75,1.85,1.93,2.00,1.83,2.5,2.5,1.89,1.78,1.94,1.98,1-0,2-0
28-02,20:30,Poland Liga 1,Arka Gdynia,Wisla Krakow,0,-0.25,0,0.25,2.09,1.98,1.79,1.80,2.5,2.5,1.89,1.86,1.94,1.89,1-1,2-2
28-02,18:00,Poland Liga 1,Pogon Siedlce,Wisla Plock,0.5,0.5,-0.5,-0.5,1.81,1.98,2.05,1.80,2.5,2.5,2.00,1.84,1.84,1.92,0-1,1-3
28-02,16:30,Bulgaria B PFG,Litex Lovech,PFK Montana,1,0.5,-1,-0.5,2.02,1.98,1.74,1.75,2,2,1.96,1.99,1.78,1.74,0-1,0-2
28-02,18:30,Danish 1st Division,Herfolge Boldklub Koge,Esbjerg,0.25,0.75,-0.25,-0.75,2.02,2.02,1.86,1.78,2.75,3.25,1.88,1.91,1.95,1.85,0-0,0-2
28-02,19:00,Danish 1st Division,Vendsyssel,AC Horsens,0.5,0.75,-0.5,-0.75,2.03,1.94,1.85,1.85,2.5,2.5,1.91,1.82,1.93,1.93,1-1,3-4
28-02,20:00,Holland Eredivisie,RKC Waalwijk,Fortuna Sittard,-0.25,-0.25,0.25,0.25,1.87,1.88,2.04,1.94,2.75,3,1.91,1.85,1.98,1.95,0-1,1-2
28-02,20:00,Holland Eerste Divisie,FC Utrecht (Youth),Jong Ajax (Youth),0.25,0.25,-0.25,-0.25,1.88,1.81,2.02,2.00,3,3,2.05,1.91,1.83,1.88,0-2,1-2
28-02,20:00,Holland Eerste Divisie,Dordrecht,Emmen,0,-0.25,0,0.25,2.08,2.01,1.82,1.80,3,3,1.98,1.91,1.89,1.88,1-0,3-0
28-02,20:00,Holland Eerste Divisie,Volendam,Helmond Sport,-1,-1.25,1,1.25,1.97,2.04,1.92,1.78,3,3.25,1.92,1.97,1.95,1.82,1-1,3-1
28-02,20:00,Holland Eerste Divisie,Jong PSV Eindhoven (Youth),De Graafschap,1,0.75,-1,-0.75,2.07,2.02,1.83,1.88,3.5,3.5,1.90,1.93,1.97,1.94,1-1,1-2
28-02,20:00,Holland Eerste Divisie,SC Cambuur,VVV Venlo,-1.5,-1.25,1.5,1.25,1.97,1.87,1.92,1.93,3,2.5,1.88,1.81,1.99,1.95,2-0,5-0
