Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
26-01,11:00,Singapore League,Geylang International,Lion City Sailors,0.75,0.5,-0.75,-0.5,1.96,1.82,1.86,1.92,4.25,4.25,1.88,1.94,1.93,1.75,1-1,1-2
26-01,12:10,Singapore League,Tanjong Pagar Utd,DPMM FC,0.25,1.25,-0.25,-1.25,2.00,1.95,1.81,1.79,3.5,4.5,1.83,1.79,1.96,1.95,1-0,3-0
26-01,18:30,Belgian Pro League,Anderlecht,Mechelen,-0.5,-0.75,0.5,0.75,2.07,1.87,1.83,1.93,2.5,2.75,1.99,1.93,1.88,1.85,2-0,4-1
26-01,16:00,Belgian Pro League,Beerschot Wilrijk,Saint Gilloise,1.25,1.25,-1.25,-1.25,1.90,1.83,1.99,1.98,2.75,2.75,1.98,1.88,1.88,1.91,0-3,0-4
26-01,19:15,Belgian Pro League,Oud Heverlee,KAA Gent,0,-0.25,0,0.25,1.79,2.02,2.12,1.79,2.5,2.25,2.07,1.79,1.82,2.01,0-0,0-0
26-01,13:30,Belgian Pro League,Standard Liege,FCV Dender EH,0,-0.25,0,0.25,1.85,1.86,2.05,1.94,2.25,2.25,1.95,1.86,1.92,1.93,1-0,1-0
26-01,17:30,Croatia 1.Division,Hajduk Split,Slaven Belupo,-1.25,-1.25,1.25,1.25,1.93,1.99,1.92,1.79,2.75,2.5,1.89,1.83,1.94,1.93,0-0,0-0
26-01,15:00,Croatia 1.Division,Rijeka,NK Lokomotiva Zagreb,-1,-1,1,1,1.95,1.88,1.90,1.89,2.5,2.25,2.01,1.88,1.83,1.88,2-0,4-1
26-01,16:00,Belgian Second Division,Club Brugge Ⅱ,LaLouviere,0.5,0.5,-0.5,-0.5,1.95,2.00,1.90,1.79,2.75,2.75,1.94,1.91,1.89,1.85,1-0,2-1
26-01,13:30,Belgian Second Division,KVSK Lommel,RFC de Liege,-0.5,-0.75,0.5,0.75,1.84,1.94,2.02,1.83,2.75,3,1.88,1.95,1.95,1.81,0-2,0-2
26-01,17:30,English Premier League,Aston Villa,West Ham United,-1.25,-0.75,1.25,0.75,2.09,1.79,1.85,2.04,3,2.75,1.98,1.82,1.93,1.99,1-0,1-1
26-01,15:00,English Premier League,Crystal Palace,Brentford,-0.5,-0.5,0.5,0.5,2.02,1.90,1.91,1.92,3,2.75,1.95,1.95,1.95,1.85,0-0,1-2
26-01,20:00,English Premier League,Fulham,Manchester United,-0.25,0,0.25,0,2.08,1.79,1.85,2.04,2.5,2.75,1.89,1.95,2.01,1.85,0-0,0-1
26-01,15:00,English Premier League,Tottenham Hotspur,Leicester City,-1.25,-1.25,1.25,1.25,2.05,1.85,1.88,1.96,3.5,3.75,1.88,1.95,2.03,1.85,1-0,1-2
26-01,16:45,Holland Eredivisie,AZ Alkmaar,Sparta Rotterdam,-1,-1,1,1,1.95,1.78,1.95,2.06,2.5,2.75,1.87,1.81,2.02,1.99,0-0,1-2
26-01,12:15,Holland Eredivisie,Fortuna Sittard,PEC Zwolle,-0.25,-0.5,0.25,0.5,1.90,1.86,2.00,1.96,2.5,2.5,1.86,1.83,2.03,1.98,0-2,1-4
