Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
10-01,01:45,Mexico Youth U21,Club Tijuana U,Club America U,-0.5,-0.5,0.5,0.5,1.85,1.79,1.89,1.93,3.5,3.5,1.96,1.88,1.79,1.83,0-0,2-0
10-01,01:30,Brazil Pernambucano League,Nautico (PE),Maguary PE,-1.25,-0.75,1.25,0.75,1.99,1.81,1.83,1.93,2.5,2.25,2.01,1.85,1.82,1.89,0-0,2-0
10-01,01:15,Brasil Copa SP Juniores,Comercial SP Youth,America MG (Youth),0.5,0.25,-0.5,-0.25,1.83,1.83,1.91,1.85,2.5,3,1.84,1.92,1.90,1.79,0-1,0-3
10-01,01:00,Brazil Campeonato Paulista B,Oeste,Ferroviaria SP,0.25,0.25,-0.25,-0.25,2.04,2.03,1.76,1.75,2,2,1.91,1.90,1.88,1.85,0-0,0-0
10-01,00:40,Brasil Copa SP Juniores,Barra SC Youth,EC de Patos Youth,-1,-0.5,1,0.5,1.91,1.83,1.83,1.88,2.75,2.75,1.93,1.93,1.81,1.79,0-0,2-1
10-01,00:30,Brasil Copa SP Juniores,I Futebol Clube Youth,Vasco da Gama (Youth),2.25,2.25,-2.25,-2.25,1.82,1.77,1.91,1.93,3.5,3.5,1.92,1.93,1.81,1.78,1-0,1-3
10-01,00:10,Mexico Liga Premier Serie A,Estudiantes Tecos,Reboceros de La Piedad,-0.5,-0.75,0.5,0.75,1.86,1.77,1.88,1.95,3,3,1.89,1.75,1.85,1.97,3-0,4-1
10-01,00:00,Brasil Copa SP Juniores,Gremio Prudente SP (Youth),Ceara (Youth),-0.25,-0.25,0.25,0.25,1.81,1.85,1.93,1.85,2.25,2.25,1.76,1.94,1.99,1.78,0-0,2-1
10-01,00:00,Mexico Liga Premier Serie A,Atletico Hidalgo,Gavilanes FC Matamoros,1.25,1.25,-1.25,-1.25,1.76,1.95,1.99,1.77,2.75,2.75,1.78,1.85,1.97,1.86,0-0,1-0
10-01,00:00,Trinidad and Tobago Pro League,Club Sando,FC Phoenix,-1.75,-1.75,1.75,1.75,1.89,1.88,1.83,1.82,3.5,3.25,1.91,1.88,1.82,1.82,3-0,6-0
09-01,23:45,Brasil Copa SP Juniores,Guarani SP (Youth),Naviraiense Youth,-3.5,-3.75,3.5,3.75,1.90,1.79,1.81,1.89,4.25,4.5,1.85,1.82,1.86,1.86,3-0,4-0
09-01,23:45,Brasil Copa SP Juniores,OSTO youth team,Marica Youth,-0.25,-0.25,0.25,0.25,1.77,1.76,1.99,1.97,2.5,2.5,1.78,1.76,1.98,1.96,1-0,1-1
09-01,23:30,Brazil Pernambucano League,Retro,Vitoria PE,-0.75,-1,0.75,1,1.81,2.01,2.02,1.79,2.25,2.25,1.93,1.91,1.88,1.88,2-0,4-0
09-01,23:15,Brasil Copa SP Juniores,XV de Jau (Youth),Corinthians Paulista (Youth),0.75,1.75,-0.75,-1.75,1.93,1.81,1.81,1.89,2.75,3.25,1.96,1.83,1.79,1.87,1-3,2-3
09-01,23:00,Brasil Copa SP Juniores,Noroeste (Youth),Atletico PI Youth,1.75,2,-1.75,-2,1.78,1.90,1.95,1.79,3,3.25,1.79,1.82,1.94,1.87,0-3,0-5
09-01,22:45,Mexico Liga MX U19,Tijuana U,Club America U,-0.25,0,0.25,0,1.83,1.88,1.91,1.83,2.25,2.25,1.78,2.00,1.98,1.72,0-0,1-0
09-01,22:15,Brasil Copa SP Juniores,Velo Clube Youth,Guanabara City U,0,0,0,0,1.91,1.72,1.83,2.01,2.75,2.5,1.98,1.81,1.77,1.90,1-1,1-1
09-01,22:15,Spain Primera Division RFEF,Tenerife,CF Talavera de la Reina,-1.25,-1.25,1.25,1.25,1.87,1.97,1.95,1.78,2.5,2.25,2.00,1.94,1.83,1.80,0-0,1-0
09-01,22:00,Gibraltar Premier Division,Europa FC,St Josephs FC,1.25,1.25,-1.25,-1.25,1.78,1.76,1.98,1.96,3,3,1.83,1.81,1.92,1.90,0-0,0-1
09-01,22:00,Ireland Leinster Senior League,Carrigaline United,Midleton FC,0.5,0.5,-0.5,-0.5,1.81,1.76,1.93,1.96,2.25,2.25,2.01,1.75,1.75,1.98,2-0,3-3
09-01,22:00,Ireland Leinster Senior League,St Francis FC,Usher Celtic,-1,-0.75,1,0.75,1.83,1.96,1.91,1.76,3,2.75,1.94,1.80,1.81,1.91,2-0,4-1
09-01,22:00,Spanish La Liga,Getafe,Real Sociedad,0.25,0,-0.25,0,1.89,1.76,2.04,2.08,1.75,2,1.83,2.06,2.10,1.76,0-1,1-2
09-01,21:45,Brasil Copa SP Juniores,Olimpico EC Youth,Carajas PA Youth,0.5,0.75,-0.5,-0.75,1.80,1.86,1.94,1.85,3,2.75,1.90,1.86,1.84,1.85,0-0,1-0
09-01,21:45,England Northern League Division One,Atherton Collieries,Stalybridge Celtic,0.25,0.25,-0.25,-0.25,1.78,1.93,1.97,1.79,2.5,2.75,1.88,1.81,1.86,1.90,0-1,0-2
09-01,21:45,England Ryman(Isthmian) League Premier Division,Cray Wanderers,Aveley,0,0,0,0,1.92,1.86,1.87,1.89,3,3,1.98,1.93,1.81,1.83,0-0,0-3
09-01,21:45,England Ryman(Isthmian) League Premier Division,Hashtag United,Dartford,0.25,0.5,-0.25,-0.5,2.00,1.79,1.80,1.98,2.75,2.75,1.79,1.81,2.01,1.94,1-1,2-2
09-01,21:45,Ireland Leinster Senior League,Lucan United,Bangor Celtic,-0.75,-0.75,0.75,0.75,1.83,1.81,1.91,1.91,2.75,2.75,1.82,1.83,1.85,1.88,0-2,0-2
09-01,21:45,Northern Ireland Cup,Coleraine,Crusaders,-1.75,-1.5,1.75,1.5,1.96,1.84,1.78,1.87,3.25,3.25,1.81,1.77,1.91,1.94,0-0,4-0
09-01,21:45,Scottish Championship,Ross County,Partick Thistle,0.25,0.5,-0.25,-0.5,1.96,1.78,1.88,2.00,2.5,2.5,2.05,1.93,1.79,1.82,2-0,2-0
09-01,21:30,England FA Cup,Milton Keynes Dons,Oxford United,0.25,0.25,-0.25,-0.25,1.86,1.88,2.04,1.92,2.5,2.5,1.98,1.83,1.89,1.96,1-0,1-1
09-01,21:30,England FA Cup,Port Vale,Fleetwood Town,-0.5,-0.5,0.5,0.5,1.81,1.82,2.06,2.01,2.5,2.5,1.84,2.02,2.04,1.79,1-0,1-0
09-01,21:30,England FA Cup,Preston North End,Wigan Athletic,-0.5,-0.5,0.5,0.5,1.93,1.83,1.95,1.97,2.25,2.25,2.03,1.79,1.85,2.01,0-0,0-1
09-01,21:30,England FA Cup,Wrexham,Nottingham Forest,0.75,0.75,-0.75,-0.75,1.93,1.91,1.98,1.91,2.5,2.5,1.85,1.90,2.05,1.90,2-0,3-3
09-01,21:30,German Bundesliga,Eintracht Frankfurt,Borussia Dortmund,0.5,0.5,-0.5,-0.5,1.87,1.83,2.06,1.99,3,3,2.05,1.80,1.86,2.01,1-1,3-3
09-01,21:30,International Club Friendly,Galway United,Treaty United,-1,-1,1,1,1.78,1.75,1.97,1.97,3,3,1.93,1.84,1.82,1.87,0-0,2-0
