Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
29-03,20:00,Serbian Superliga,FK Napredak Krusevac,Radnicki  Kragujevac,0,0.25,0,-0.25,1.99,1.83,1.83,1.92,2.5,2.5,2.01,1.92,1.82,1.82,0-0,1-0
29-03,16:30,Serbian Superliga,Partizan Belgrade,Backa Topola,-0.25,-1,0.25,1,1.92,1.98,1.90,1.77,3,3,2.01,1.93,1.81,1.81,0-0,0-0
29-03,15:30,Serbian Superliga,Radnicki Nis,Tekstilac,-0.75,-0.5,0.75,0.5,1.79,1.97,2.05,1.78,2.75,2.75,1.99,1.93,1.83,1.81,1-2,1-2
29-03,19:00,Serbian Superliga,Vojvodina Novi Sad,Crvena Zvezda,1.25,1.5,-1.25,-1.5,1.97,1.88,1.85,1.86,3,3,1.96,1.84,1.85,1.90,2-1,3-5
29-03,15:00,Serbia Prva Liga,FK Dubocica,FK Vrsac,-0.75,-1,0.75,1,1.80,1.75,1.94,1.97,2,2,1.93,1.81,1.82,1.91,2-0,4-0
29-03,15:00,Serbia Prva Liga,Mladost Novi Sad,Borac Cacak,-0.25,-0.5,0.25,0.5,1.72,1.92,2.05,1.80,1.75,2,1.72,1.98,2.04,1.74,0-1,1-1
29-03,15:00,Serbia Prva Liga,Sloven Ruma,Semendrija,-0.5,-0.25,0.5,0.25,2.00,1.87,1.75,1.84,1.75,2,1.85,1.98,1.88,1.75,2-2,3-2
29-03,16:00,Croatia 1.Division,Istra  Pula,ZNK Osijek,-0.25,-0.25,0.25,0.25,1.77,2.15,2.11,1.68,2,2,1.78,1.87,2.08,1.88,1-0,2-1
29-03,18:45,Croatia 1.Division,Slaven Belupo,Rijeka,0.25,0.5,-0.25,-0.5,2.01,1.76,1.85,2.03,2,2.25,1.93,2.00,1.90,1.76,0-1,2-1
29-03,13:45,Bulgaria Premier League,Cherno More Varna,Slavia Sofia,-0.75,-0.75,0.75,0.75,2.07,1.92,1.80,1.85,2,2.25,1.92,1.79,1.92,1.96,0-0,1-1
29-03,11:15,Bulgaria Premier League,CSKA  Sofia,FK Levski Krumovgrad,-1,-0.75,1,0.75,1.85,1.75,2.01,2.04,2.25,2.25,1.88,1.84,1.96,1.92,3-1,4-1
29-03,16:15,Bulgaria Premier League,Septemvri Sofia,CSKA Sofia,1.25,1,-1.25,-1,2.06,1.97,1.81,1.81,2.5,2.75,1.87,1.98,1.97,1.78,0-0,0-1
29-03,14:45,Poland Ekstraklasa,Cracovia Krakow,Puszcza Niepolomice,-0.75,-0.75,0.75,0.75,1.98,1.77,1.91,2.05,2.5,2.5,1.95,1.88,1.92,1.90,2-1,3-1
29-03,17:30,Poland Ekstraklasa,Lechia Gdansk,Jagiellonia Bialystok,0.25,0.25,-0.25,-0.25,1.91,2.00,1.98,1.81,2.75,3,1.93,1.96,1.94,1.83,0-0,1-0
29-03,20:15,Poland Ekstraklasa,Slask Wroclaw,Lech Poznan,0.5,0.25,-0.5,-0.25,1.86,2.00,2.03,1.81,2.75,2.25,2.02,1.83,1.85,1.96,1-1,3-1
29-03,16:00,Belgian Second Division,Genk II,LaLouviere,1,1,-1,-1,1.98,1.89,1.87,1.88,3,3,1.97,1.95,1.86,1.81,0-1,0-1
29-03,20:00,Belgian Second Division,Lierse,Red Star Waasland,0.5,0,-0.5,0,1.90,1.95,1.94,1.83,2.5,2.5,1.89,1.83,1.94,1.93,0-0,0-1
29-03,20:00,Belgian Second Division,Zulte-Waregem,Anderlecht II,-1.75,-1.5,1.75,1.5,2.02,1.81,1.82,1.97,3.5,3.25,1.98,1.81,1.84,1.94,1-0,3-1
29-03,15:00,Poland Liga 1,Gornik Leczna,Ruch Chorzow,0.5,0.25,-0.5,-0.25,1.81,2.00,2.05,1.79,2.5,2.25,1.97,1.78,1.87,1.98,0-0,2-0
29-03,19:30,Poland Liga 1,LKS Lodz,Odra Opole,-0.75,-0.75,0.75,0.75,1.94,1.79,1.91,2.00,2.25,2.5,1.95,1.90,1.88,1.85,1-1,1-2
29-03,17:30,Poland Liga 1,Polonia Warszawa,Chrobry Glogow,-0.75,-1,0.75,1,2.05,1.97,1.82,1.81,2.5,2.5,1.94,1.79,1.89,1.98,1-2,4-2
29-03,14:30,Bulgaria B PFG,FC Dunav Ruse,Botev Plovdiv II,-2,-1.75,2,1.75,1.91,1.95,1.82,1.76,2.5,2.75,1.77,1.88,1.96,1.82,1-0,4-0
29-03,14:30,Bulgaria B PFG,Fratria,Yantra Gabrovo,0,-0.25,0,0.25,1.76,1.88,1.99,1.83,2,2,1.76,1.82,1.99,1.88,0-2,1-3
29-03,14:30,Bulgaria B PFG,Litex Lovech,Strumska Slava,0,-0.25,0,0.25,1.72,2.02,2.05,1.71,1.75,2,1.85,1.93,1.88,1.79,0-0,1-0
29-03,14:30,Bulgaria B PFG,Lokomotiv Gorna Oryahovitsa,Marek Dupnitza,-0.25,-0.5,0.25,0.5,1.89,1.94,1.85,1.77,1.75,2,1.76,1.92,2.00,1.80,1-1,4-1
29-03,14:30,Bulgaria B PFG,Pirin Blagoevgrad,PFC Nesebar,-1.75,-1.25,1.75,1.25,1.87,1.83,1.85,1.88,3.5,2.5,1.94,1.82,1.79,1.89,4-0,5-1
29-03,14:30,Bulgaria B PFG,Spartak Pleven,Ludogorets Razgrad II,0,-0.25,0,0.25,1.73,1.81,2.03,1.89,2,2,1.90,1.81,1.84,1.90,1-0,2-0
29-03,14:30,Bulgaria B PFG,Sportist Svoge,Minyor Pernik,-0.75,-0.5,0.75,0.5,1.81,1.88,1.93,1.83,2,2,1.92,1.88,1.83,1.83,1-0,2-0
29-03,16:00,Scottish Highland Football League,Formartine United,Brechin City,0.5,0.5,-0.5,-0.5,1.91,2.04,1.88,1.76,2.5,3.25,1.90,1.91,1.88,1.88,0-1,1-4
