Date,Time,League,Home Team,Away Team,Home AH Closing,Home AH Opening,Away AH Closing,Away AH Opening,Home Odds Closing,Home Odds Opening,Away Odds Closing,Away Odds Opening,Total Line Closing,Total Line Opening,Over Odds Closing,Over Odds Opening,Under Odds Closing,Under Odds Opening,HT Result,FT Result
01-11,01:30,New Zealand Football Championship,Wellington Olympic,Western Suburbs,-0.75,-0.75,0.75,0.75,1.82,1.95,2.01,1.79,4,4.25,2.00,1.88,1.83,1.86,0-0,1-0
01-11,01:30,Primera Division de Venezuela,Deportivo La Guaira,Monagas SC,-0.75,-0.75,0.75,0.75,1.88,1.96,1.94,1.79,2.5,2.25,1.99,1.81,1.83,1.93,0-1,2-1
01-11,01:00,Argentina Regional Federal Championships,Andino Sport Club,Joaquin Victor Gonzalez,-1.75,-0.5,1.75,0.5,1.87,1.93,1.85,1.79,2.5,2,1.89,1.79,1.83,1.92,2-1,4-4
01-11,01:00,Chile Primera B,San Marcos de Arica,Rangers Talca,-0.5,-0.25,0.5,0.25,2.05,1.98,1.79,1.77,2.25,2.25,1.88,1.95,1.94,1.79,1-0,3-0
01-11,01:00,Mexico Liga MX Femenil,Chivas Guadalajara (W),Club Necaxa (W),-3.5,-3.25,3.5,3.25,1.84,1.94,1.98,1.80,4.5,4,1.97,1.78,1.84,1.95,1-0,4-0
01-11,01:00,Mexico Liga MX Femenil,Toluca (W),Puebla (W),-2.5,-2.75,2.5,2.75,1.86,1.89,1.98,1.85,3.5,3.75,1.80,1.80,1.99,1.93,1-1,4-1
01-11,01:00,Primera Division de Paraguay,de Mayo PJC,Atletico Tembetary,-0.75,-0.75,0.75,0.75,1.84,1.97,2.02,1.81,2.25,2.25,1.86,1.84,1.98,1.92,0-1,0-1
01-11,01:00,Uruguay Primera Division,Wanderers FC,Boston River,0.25,0,-0.25,0,1.86,2.06,2.03,1.76,2,2,1.87,1.79,2.00,2.01,0-1,2-2
01-11,00:30,Brazil Campeonato Goiano 3,Guanabara City FC,America GO,0.5,0,-0.5,0,1.86,1.91,1.81,1.80,2.75,2.75,1.78,1.85,1.90,1.85,0-3,1-3
01-11,00:30,Copa LFPB,Bolivar,San Antonio Bulo Bulo,-2.75,-2.25,2.75,2.25,1.79,1.93,1.97,1.81,4.5,3.75,1.86,1.85,1.89,1.88,0-0,1-0
01-11,00:00,Argentine Division 1,San Lorenzo,Deportivo Riestra,-0.25,-0.5,0.25,0.5,1.81,1.95,2.12,1.87,1.5,1.75,2.00,1.85,1.89,1.96,0-0,1-0
01-11,00:00,Brazil Paulista Womens League,Santos (W),Taubate(W),-1.25,-1,1.25,1,1.76,1.75,1.99,1.97,2.5,2.5,1.81,1.78,1.94,1.93,2-0,4-0
01-11,00:00,Brazil Serie B,Atletico Clube Goianiense,SC Paysandu Para,-1,-1,1,1,2.03,2.01,1.86,1.81,2.5,2.25,1.90,1.88,1.97,1.91,0-1,2-1
01-11,00:00,Brazil Serie B,Coritiba PR,CRB AL,-0.75,-0.5,0.75,0.5,2.04,1.80,1.85,2.01,2.25,2.25,1.99,1.97,1.88,1.82,0-0,0-0
01-11,00:00,Mexico Liga TDP,Academia Dragones FC,Universidad Del Sureste FC,-0.25,-0.25,0.25,0.25,1.88,1.83,1.86,1.88,2.75,3,1.88,1.80,1.86,1.91,0-2,1-2
01-11,00:00,Mexico Liga TDP,Oceania FC,Club Atletico San Juan de Aragon II,-2.25,-2,2.25,2,1.78,1.77,1.95,1.93,3.5,3.5,1.90,1.75,1.83,1.96,0-0,3-1
